observation_id,profile,policy,regime,disruption,phase_offset,deadline,trusted_recovery_success,recovery_completion_slot,contacts_consumed,cryptographic_bytes_transferred,transition_attempts,legacy_exposure_slots,control_unavailable_slots,dual_epoch_overlap_slots,rollback_invoked,stale_epoch_acceptance,terminal_state,proof_accepted_slot,commit_slot
S8-0076,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A0_NONE,1,12,1,10,2,12560,1,0,10,0,0,0,TRUST_RESTORED,4,10
S8-0077,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A0_NONE,1,24,1,10,2,12560,1,0,10,0,0,0,TRUST_RESTORED,4,10
S8-0078,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A0_NONE,1,48,1,10,2,12560,1,0,10,0,0,0,TRUST_RESTORED,4,10
S8-0079,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A0_NONE,2,12,1,9,2,12560,1,0,9,0,0,0,TRUST_RESTORED,3,9
S8-0080,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A0_NONE,2,24,1,9,2,12560,1,0,9,0,0,0,TRUST_RESTORED,3,9
S8-0081,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A0_NONE,2,48,1,9,2,12560,1,0,9,0,0,0,TRUST_RESTORED,3,9
S8-0082,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A0_NONE,3,12,1,8,2,12560,1,0,8,0,0,0,TRUST_RESTORED,2,8
S8-0083,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A0_NONE,3,24,1,8,2,12560,1,0,8,0,0,0,TRUST_RESTORED,2,8
S8-0084,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A0_NONE,3,48,1,8,2,12560,1,0,8,0,0,0,TRUST_RESTORED,2,8
S8-0085,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A0_NONE,4,12,1,7,2,12560,1,0,7,0,0,0,TRUST_RESTORED,1,7
S8-0086,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A0_NONE,4,24,1,7,2,12560,1,0,7,0,0,0,TRUST_RESTORED,1,7
S8-0087,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A0_NONE,4,48,1,7,2,12560,1,0,7,0,0,0,TRUST_RESTORED,1,7
S8-0088,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A0_NONE,5,12,1,6,2,12560,1,0,6,0,0,0,TRUST_RESTORED,0,6
S8-0089,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A0_NONE,5,24,1,6,2,12560,1,0,6,0,0,0,TRUST_RESTORED,0,6
S8-0090,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A0_NONE,5,48,1,6,2,12560,1,0,6,0,0,0,TRUST_RESTORED,0,6
S8-0091,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,0,12,1,5,2,14980,1,0,5,0,0,0,TRUST_RESTORED,5,5
S8-0092,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,0,24,1,5,2,14980,1,0,5,0,0,0,TRUST_RESTORED,5,5
S8-0093,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,0,48,1,5,2,14980,1,0,5,0,0,0,TRUST_RESTORED,5,5
S8-0094,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,1,12,1,10,2,14980,1,0,10,0,0,0,TRUST_RESTORED,10,10
S8-0095,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,1,24,1,10,2,14980,1,0,10,0,0,0,TRUST_RESTORED,10,10
S8-0096,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,1,48,1,10,2,14980,1,0,10,0,0,0,TRUST_RESTORED,10,10
S8-0097,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,2,12,1,9,2,14980,1,0,9,0,0,0,TRUST_RESTORED,9,9
S8-0098,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,2,24,1,9,2,14980,1,0,9,0,0,0,TRUST_RESTORED,9,9
S8-0099,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,2,48,1,9,2,14980,1,0,9,0,0,0,TRUST_RESTORED,9,9
S8-0100,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,3,12,1,8,2,14980,1,0,8,0,0,0,TRUST_RESTORED,8,8
S8-0101,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,3,24,1,8,2,14980,1,0,8,0,0,0,TRUST_RESTORED,8,8
S8-0102,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,3,48,1,8,2,14980,1,0,8,0,0,0,TRUST_RESTORED,8,8
